Company,Industry,Year,EBITDA,Total Product,Affordability,Underserved,HealthSafety,Effectiveness,Basic Need,Monopoly,Pollutants,Recycling
Nestle,CPG,2018,"$19,946,100,000","-$19,875,238,498","$7,262,049,867","$90,893,138","-$15,628,806","-$18,292,651,083",,,"-$8,546,687,046","-$373,214,568"
Danone,CPG,2018,"$5,259,500,000","-$7,844,447,219","$566,892,820","$226,274,922","-$268,756","-$8,343,321,509",,,"-$180,015,120","-$114,009,576"
Kraft Heinz,CPG,2018,"$7,385,000,000","-$6,203,823,958","$2,476,900,443","$67,337,402","-$4,629,498,035","-$4,002,119,531",,,"-$110,580,000","-$5,864,238"
Mondelez,CPG,2018,"$4,587,000,000","-$6,856,267,055",$0,$0,"-$4,442,992,223","-$2,254,102,218",,,"-$89,019,180","-$70,153,434"
Ajinomoto,CPG,2018,"$1,361,700,000","-$1,714,448,243","$512,335,788",$0,"-$1,456,600,320","-$570,415,583",,,"-$149,180,058","-$50,588,070"
Hormel,CPG,2018,"$1,300,100,000","-$558,879,400","$395,781,051","$10,823,348",$0,"-$965,483,799",,,,
Campbell,CPG,2018,"$1,683,000,000","-$1,377,305,036","$8,095,079","$25,813,094",$0,"-$1,158,178,125",,,"-$187,433,442","-$65,601,642"
ConAgra,CPG,2018,"$1,955,300,000","-$5,938,954,177","$152,118,760","$89,030","-$4,400,221,728","-$1,690,940,238",,,,
Hershey,CPG,2018,"$2,017,700,000","-$2,595,880,767","$1,029,376,970",$0,$0,"-$3,625,257,737",,,,
Kellogg,CPG,2018,"$2,405,000,000","-$1,113,238,419","$1,323,190,694","$2,993,922","-$255,919,681","-$1,560,633,574",,,"-$470,090,400","-$152,779,380"
General Mills,CPG,2018,"$3,319,000,000","$2,594,413,865","$3,079,289,863","$72,888,460","-$30,711,659","-$328,271,000",,,"-$150,024,000","-$48,757,800"
BMW GROUP,Auto,2015,"$15,091,600,000","-$518,311,961",$0,"$145,526,310","$400,486,139",$0,,,"-$1,298,553,973","$234,229,564"
BMW GROUP,Auto,2016,"$15,142,400,000","$609,476,153",$0,"$156,531,492","$307,589,027","$1,297,378,889",,,"-$1,400,001,285","$247,978,030"
BMW GROUP,Auto,2017,"$15,716,600,000","-$96,777,984",$0,"$163,433,039","$255,101,466","$658,928,501",,,"-$1,428,141,246","$253,900,255"
BMW GROUP,Auto,2018,"$14,646,100,000","-$344,794,723",$0,"$160,140,594","$216,977,836","$448,838,806",,,"-$1,430,809,846","$260,057,887"
DAIMLER,Auto,2015,"$19,800,300,000","-$154,241,322",$0,"$121,359,841","$38,560,830","$955,210,770",,,"-$1,497,677,638","$228,304,875"
DAIMLER,Auto,2016,"$19,854,700,000","-$1,193,350,722",$0,"$104,571,159","-$460,280,215","$537,435,168",,,"-$1,628,109,778","$253,032,945"
DAIMLER,Auto,2017,"$19,848,800,000","-$236,962,557",$0,"$113,465,865","-$353,224,432","$1,530,713,274",,,"-$1,809,307,022","$281,389,758"
DAIMLER,Auto,2018,"$16,744,700,000","-$274,006,578",$0,"$63,709,999","$218,902,833","$949,357,227",,,"-$1,792,414,860","$286,438,223"
FIAT CHRYSLER AUTOMOBILES,Auto,2015,"$9,022,300,000","-$3,914,742,226",$0,"$181,742,823",,"-$1,281,860,695",,,"-$3,253,812,826","$439,188,473"
FIAT CHRYSLER AUTOMOBILES,Auto,2016,"$10,723,100,000","-$2,611,879,820",$0,"$158,998,274","$277,975,053","-$196,292,794",,,"-$3,289,552,858","$436,992,505"
FIAT CHRYSLER AUTOMOBILES,Auto,2017,"$11,770,100,000","-$2,970,511,621",$0,"$181,792,806","$323,835,439","-$507,087,491",,,"-$3,416,447,927","$447,395,552"
FIAT CHRYSLER AUTOMOBILES,Auto,2018,"$11,711,000,000","-$2,918,678,750",$0,"$181,792,806","$119,401,077","-$348,732,239",,,"-$3,326,236,906","$455,096,513"
FORD MOTOR COMPANY,Auto,2015,"$16,017,000,000","-$1,311,390,580",$0,"$487,019,915","$1,888,113,339",$0,,,"-$4,370,204,624","$683,680,790"
FORD MOTOR COMPANY,Auto,2016,"$13,080,000,000","-$311,049,080",$0,"$496,174,774","$2,033,094,485","$865,624,837",,,"-$4,382,370,124","$676,426,948"
FORD MOTOR COMPANY,Auto,2017,"$15,168,000,000","-$999,525,538",$0,"$477,616,719","$2,219,350,591",$0,,,"-$4,343,346,459","$646,853,610"
FORD MOTOR COMPANY,Auto,2018,"$13,467,000,000","-$1,505,550,221",$0,"$385,073,768","$1,345,427,556","$200,353,181",,,"-$4,016,867,387","$580,462,661"
GENERAL MOTORS,Auto,2015,"$14,233,000,000","-$1,812,428,553",$0,"$1,190,050,385","$2,520,514,159","$146,501,931",,,"-$6,732,095,792","$1,062,600,765"
GENERAL MOTORS,Auto,2016,"$15,089,000,000","-$655,887,844",$0,"$1,174,828,282","$2,462,055,525","$1,358,234,869",,,"-$6,724,259,478","$1,073,252,958"
GENERAL MOTORS,Auto,2017,"$14,948,000,000","-$125,883,391",$0,"$1,212,997,137","$2,257,011,713","$1,742,671,361",,,"-$6,310,704,596","$972,140,994"
GENERAL MOTORS,Auto,2018,"$13,046,000,000","-$976,685,039",$0,"$1,110,986,327","$2,177,124,477","$375,748,909",,,"-$5,480,022,773","$839,478,021"
HONDA MOTOR COMPANY,Auto,2015,"$11,094,100,000","$528,000,346","$700,867,583","$448,484,051","$1,205,610,217","$245,249,865",,,"-$2,504,745,958","$432,534,588"
HONDA MOTOR COMPANY,Auto,2016,"$9,811,500,000","$3,840,044,157","$712,239,230","$501,193,423","$3,076,683,493","$1,787,103,639",,,"-$2,684,251,360","$447,075,732"
HONDA MOTOR COMPANY,Auto,2017,"$12,103,000,000","$3,033,151,724","$1,195,269,676","$549,358,883","$2,954,727,681","$525,084,043",,,"-$2,659,450,397","$468,161,839"
HONDA MOTOR COMPANY,Auto,2018,"$15,150,600,000","$3,689,524,428","$1,343,172,078","$563,672,204","$2,876,489,151","$1,089,486,047",,,"-$2,664,388,819","$481,093,768"
HYUNDAI MOTOR COMPANY,Auto,2015,"$7,319,800,000","$2,708,643,482","$3,388,100,079",,"$1,579,804,381","$108,049,620",,,"-$2,816,329,601","$449,019,002"
HYUNDAI MOTOR COMPANY,Auto,2016,"$7,481,400,000","$2,552,312,713","$2,871,354,207",,"$1,718,042,445","$217,793,854",,,"-$2,701,240,059","$446,362,267"
HYUNDAI MOTOR COMPANY,Auto,2017,"$6,013,200,000","$3,071,892,933","$2,544,459,362","$475,648,008","$1,370,833,326","$720,704,981",,,"-$2,445,945,887","$406,193,143"
HYUNDAI MOTOR COMPANY,Auto,2018,"$4,219,500,000","$2,789,150,602","$2,754,013,845","$490,660,182","$1,495,618,531","$102,213,973",,,"-$2,465,983,401","$412,627,472"
KIA MOTORS,Auto,2015,"$3,305,000,000","$1,830,443,630","$2,228,354,525","$170,244,682","$962,441,042","-$117,676,393",,,"-$1,657,168,120","$244,247,895"
KIA MOTORS,Auto,2016,"$3,629,500,000","$2,016,152,369","$2,420,184,327","$194,732,048","$870,404,464",$0,,,"-$1,729,824,028","$260,655,559"
KIA MOTORS,Auto,2017,"$2,202,700,000","$2,239,108,028","$2,050,808,222","$163,035,540","$971,969,509","$347,656,044",,,"-$1,528,658,432","$234,297,145"
KIA MOTORS,Auto,2018,"$2,705,100,000","$1,300,503,078","$1,702,921,419","$187,848,575","$689,376,583",$0,,,"-$1,521,254,166","$241,610,668"
MAZDA,Auto,2015,"$2,572,700,000","$731,549,715","$436,242,745","$117,752,509","$691,321,852","$72,955,838",,,"-$719,889,825","$133,166,596"
MAZDA,Auto,2016,"$2,894,500,000","$758,272,124","$546,953,950","$111,874,278","$657,280,273","$79,108,614",,,"-$781,091,888","$144,146,897"
MAZDA,Auto,2017,"$1,970,100,000","$778,879,131","$460,573,207","$124,323,460","$610,198,422","$244,480,291",,,"-$807,672,963","$146,976,716"
MAZDA,Auto,2018,"$2,209,300,000","$744,907,560","$375,383,294","$137,105,709","$842,077,129","$85,807,687",,,"-$855,843,645","$160,377,385"
NISSAN MOTOR COMPANY,Auto,2015,"$9,289,600,000","-$261,703,812","$1,526,037,080","$189,740,561","$955,005,753","-$528,059,802",,,"-$2,898,295,003","$493,867,599"
NISSAN MOTOR COMPANY,Auto,2016,"$11,580,500,000","$599,869,953","$1,798,812,134","$183,549,845","$862,366,036","$274,408,145",,,"-$3,034,090,857","$514,824,650"
NISSAN MOTOR COMPANY,Auto,2017,"$10,752,800,000","-$29,052,073","$1,742,449,754","$186,019,325","$451,274,616","$284,178,928",,,"-$3,223,429,298","$530,454,602"
NISSAN MOTOR COMPANY,Auto,2018,"$9,128,300,000","$234,819,026","$1,952,120,617","$185,224,549","$377,612,729","$266,607,138",,,"-$3,052,594,380","$505,848,373"
GROUPE PSA,Auto,2015,"$5,311,400,000","$678,632,129","$1,030,252,932","$249,917,397",,,,,"-$845,888,910","$244,350,710"
GROUPE PSA,Auto,2016,"$4,985,000,000","$2,154,681,725","$1,145,945,753","$273,752,029","$1,356,535,005",,,,"-$877,963,777","$256,412,715"
GROUPE PSA,Auto,2017,"$5,729,000,000","$2,098,484,504","$1,034,236,836","$281,371,941","$1,527,045,925",,,,"-$1,039,414,888","$295,244,689"
GROUPE PSA,Auto,2018,"$7,495,000,000","$1,385,341,099","$906,612,683","$171,831,870","$1,195,260,650",,,,"-$1,205,827,139","$317,463,034"
SUBARU,Auto,2015,"$4,675,500,000","$377,549,243",$0,"$21,796,007","$567,777,736","$179,588,201",,,"-$513,892,657","$122,279,956"
SUBARU,Auto,2016,"$6,040,500,000","$542,308,768",$0,"$21,563,586","$625,192,707","$331,114,623",,,"-$570,944,002","$135,381,855"
SUBARU,Auto,2017,"$4,690,000,000","$491,599,981",$0,"$18,137,477","$538,559,494","$394,352,804",,,"-$563,228,759","$103,778,965"
SUBARU,Auto,2018,"$4,549,000,000","$403,569,752",$0,"$16,854,049","$502,946,733","$309,708,634",,,"-$524,338,002","$98,398,339"
TESLA,Auto,2018,"$1,648,000,000","$124,099,382",$0,"$12,491,380","$82,412,215",,,,$0,"$29,195,788"
TOYOTA MOTOR CORPORATION,Auto,2015,"$39,378,600,000","$90,011,823",$0,"$352,637,618","$2,469,210,085","$1,672,538,476",,,"-$5,407,071,551","$1,002,697,194"
TOYOTA MOTOR CORPORATION,Auto,2016,"$42,409,600,000","$1,399,361,131",$0,"$362,914,101","$2,169,223,733","$3,134,416,843",,,"-$5,222,353,292","$955,159,746"
TOYOTA MOTOR CORPORATION,Auto,2017,"$34,131,000,000","$1,985,129,351",$0,"$305,720,945","$2,253,581,548","$3,775,621,815",,,"-$5,333,002,513","$983,207,555"
TOYOTA MOTOR CORPORATION,Auto,2018,"$39,134,900,000","$612,073,238",$0,"$315,683,941","$2,447,078,492","$2,135,900,654",,,"-$5,282,034,297","$995,444,450"
VOLKSWAGEN GROUP,Auto,2015,"$19,123,200,000","-$1,034,801,783",$0,"$483,709,130","$2,815,667,780","$599,294,196",,,"-$5,752,450,343","$818,977,454"
VOLKSWAGEN GROUP,Auto,2016,"$28,974,000,000","-$1,192,792,375",$0,"$474,995,942","$3,872,927,457","-$626,553,792",,,"-$5,881,953,977","$967,791,995"
VOLKSWAGEN GROUP,Auto,2017,"$29,961,000,000","-$1,312,836,622",$0,"$523,731,291","$3,426,984,998",$0,,,"-$6,137,621,432","$874,068,520"
VOLKSWAGEN GROUP,Auto,2018,"$37,437,100,000","$913,566,172",$0,"$562,397,637","$4,133,097,402","$1,991,051,528",,,"-$6,662,041,157","$889,060,763"
Capital One,Finance,2015,"$3,859,593,132","$2,730,258,376","$1,805,788,094","$1,067,364,968","-$1,446,276","-$134,804,069",,"-$432,185",,"-$6,212,156"
Capital One,Finance,2016,"$3,651,904,827","$3,269,370,644","$2,237,707,129","$1,067,364,968","-$1,598,992","-$27,457,831",,"-$432,475",,"-$6,212,156"
Capital One,Finance,2017,"$3,630,528,252","$2,896,603,019","$2,627,998,329","$1,067,364,968","-$895,189,916","$103,193,408",,"-$551,615",,"-$6,212,156"
Capital One,Finance,2018,"$4,839,419,219","$3,894,915,881","$3,668,497,529","$1,067,364,968","-$864,459,314","$30,521,831",,"-$796,977",,"-$6,212,156"
Synchrony,Finance,2015,"$3,164,635,835","-$1,414,064,069","$23,958,763","$111,122,501","-$777,723,910","-$764,382,000",,"-$205,651",,"-$6,833,772"
Synchrony,Finance,2016,"$3,271,372,429","-$1,353,215,056","$23,010,309","$116,939,377","-$854,482,637","-$631,326,000",,"-$164,608",,"-$7,191,496"
Synchrony,Finance,2017,"$3,147,925,643","-$1,384,457,571","$18,762,887","$121,251,608","-$981,318,829","-$535,227,000",,"-$469,548",,"-$7,456,688"
Synchrony,Finance,2018,"$3,364,503,741","-$1,615,074,169","$18,886,598","$125,842,778","-$1,062,845,730","-$688,116,000",,"-$805,125",,"-$8,036,690"
Discover,Finance,2015,"$3,122,871,482","$4,340,230,669","$3,425,175,950","$1,357,078,125","-$615,561,263","$178,902,000",,"-$162,337",,"-$5,201,806"
Discover,Finance,2016,"$3,136,070,959","$4,200,346,399","$3,185,771,750","$1,519,804,688","-$685,619,452","$186,030,000",,"-$138,677",,"-$5,501,910"
Discover,Finance,2017,"$2,998,505,303","$3,471,704,901","$2,601,719,750","$1,464,539,063","-$794,671,157","$205,582,000",,"-$162,914",,"-$5,301,840"
Discover,Finance,2018,"$3,014,384,746","$2,419,680,953","$1,543,376,538","$1,665,491,016","-$1,092,502,494","$309,225,000",,"-$197,124",,"-$5,711,983"
American Express,Finance,2015,"$5,796,178,439","-$604,558,181",$0,$0,"-$822,931,251","$230,644,800",,"-$487,640",,"-$11,784,090"
American Express,Finance,2016,"$5,007,876,646","-$519,903,214",$0,$0,"-$803,326,053","$295,454,400",,"-$1,037,745",,"-$10,993,816"
American Express,Finance,2017,"$5,180,118,311","-$385,365,187",$0,$0,"-$851,477,678","$479,066,800",,"-$1,670,392",,"-$11,283,917"
